DateTime,Entries,UniqueIPs
1536725112,9102,9102
1536726998,9026,9026
1536728932,9020,9020
1536730822,9015,9015
1536732764,9005,9005
1536734671,8925,8925
1536736616,8913,8913
1536738515,8570,8570
1536740425,8567,8567
1536742348,9074,9074
1536744298,9977,9977
1536746221,11092,11092
1536748118,11968,11968
1536750990,11944,11944
1536752900,11936,11936
1536754827,12116,12116
1536756741,12805,12805
1536758662,12542,12542
1536760582,12340,12340
1536762502,12313,12313
1536764673,12244,12244
1536766527,12198,12198
1536768783,12174,12174
1536770681,12100,12100
1536772594,12003,12003
1536774524,11965,11965
1536776418,11156,11156
1536778365,10928,10928
1536780264,10890,10890
1536782199,10847,10847
1536784101,10819,10819
1536786058,10799,10799
1536787946,10392,10392
1536789882,10215,10215
1536791777,10141,10141
1536793707,10135,10135
1536795618,10128,10128
1536797538,10116,10116
1536799459,10113,10113
1536801397,10085,10085
1536803300,9890,9890
1536805220,9212,9212
1536807153,9192,9192
1536809060,9096,9096
1536811015,9085,9085
1536812898,9178,9178
1536815791,9020,9020
1536817725,8904,8904
1536819618,8736,8736
1536821660,8612,8612
1536823699,8604,8604
1536825678,8595,8595
1536827549,8593,8593
1536829470,7499,7499
1536831396,6367,6367
1536833316,4995,4995
1536835216,4477,4477
1536837140,4491,4491
1536839068,4497,4497
1536841012,4396,4396
1536842903,3605,3605
1536844829,3639,3639
1536846779,3640,3640
1536848667,3630,3630
1536850585,3637,3637
1536852500,2926,2926
1536854453,3083,3083
1536856358,3573,3573
1536858301,3660,3660
1536860207,3653,3653
1536862110,3646,3646
1536864023,3646,3646
1536865953,3652,3652
1536867885,3649,3649
1536869790,3646,3646
1536871595,3743,3743
1536873610,3739,3739
1536875547,3745,3745
1536877703,3733,3733
1536879688,3723,3723
1536881539,3735,3735
1536883492,3747,3747
1536885423,3754,3754
1536887333,3765,3765
1536889240,3773,3773
1536891154,3795,3795
1536893055,3807,3807
1536895027,3791,3791
1536896899,3799,3799
1536898850,3743,3743
1536900745,3980,3980
1536902681,3982,3982
1536904594,3984,3984
1536906526,3997,3997
1536908470,4348,4348
1536910610,4356,4356
1536912549,4356,4356
1536914457,4377,4377
1536916359,4376,4376
1536918271,4816,4816
1536920216,4865,4865
1536922098,4904,4904
1536924068,4935,4935
1536925951,4995,4995
1536928127,5003,5003
1536930074,4994,4994
1536931964,4994,4994
1536933869,4998,4998
1536935772,4987,4987
1536937739,4997,4997
1536939891,5012,5012
1536941801,4277,4277
1536943706,4279,4279
1536945626,4202,4202
1536947564,4221,4221
1536949468,4249,4249
1536951394,4247,4247
1536953328,4603,4603
1536955265,4732,4732
1536957156,4723,4723
1536959085,4695,4695
1536961014,4700,4700
1536962913,4704,4704
1536964864,4910,4910
1536967013,4925,4925
1536968895,4916,4916
1536970839,4909,4909
1536972761,4896,4896
1536974681,5392,5392
1536976570,5989,5989
1536978498,6727,6727
1536980462,7043,7043
1536982358,7059,7059
1536984295,7071,7071
1536986182,7036,7036
