DateTime,Entries,UniqueIPs
1537033350,9168,9168
1537034182,9173,9173
1537035269,9173,9173
1537036523,9174,9174
1537038872,9175,9175
1537040085,9176,9176
1537042234,9179,9179
1537043438,9175,9175
1537044940,9175,9175
1537046072,9170,9170
1537046914,9171,9171
1537048237,9160,9160
1537049674,9158,9158
1537050510,9163,9163
1537052129,9157,9157
1537053336,9155,9155
1537054117,9156,9156
1537054950,9147,9147
1537056863,9134,9134
1537058430,9125,9125
1537059395,9124,9124
1537061314,9117,9117
1537062951,9103,9103
1537064071,9101,9101
1537065698,9085,9085
1537067135,9076,9076
1537068521,9075,9075
1537071037,9060,9060
1537072115,9067,9067
1537074336,9057,9057
1537076124,9042,9042
1537078231,9036,9036
1537079535,9031,9031
1537080928,9027,9027
1537082084,9028,9028
1537083476,9018,9018
1537084594,9016,9016
1537085673,9015,9015
1537086926,9005,9005
1537088187,9008,9008
1537089330,9004,9004
1537090103,9006,9006
1537090941,8999,8999
1537092872,8992,8992
1537094434,8989,8989
1537095731,8981,8981
1537096834,8983,8983
1537097313,8986,8986
1537098987,8999,8999
1537100071,9008,9008
1537101323,9019,9019
1537103124,9024,9024
1537103660,9025,9025
1537105359,9034,9034
1537106182,9044,9044
1537107263,9048,9048
1537108118,9053,9053
1537109781,9053,9053
1537111235,9056,9056
1537112432,9056,9056
1537113774,9058,9058
1537114930,9068,9068
1537116332,9073,9073
1537117533,9072,9072
1537119312,9074,9074
1537120785,9083,9083
1537121661,9089,9089
1537122924,9090,9090
1537124129,9088,9088
1537126108,9089,9089
1537127790,9085,9085
1537128860,9085,9085
1537130557,9080,9080
1537131397,9081,9081
1537132538,9076,9076
1537134144,9060,9060
1537134982,9064,9064
1537136140,9063,9063
1537137324,9062,9062
1537138593,9063,9063
1537139682,9053,9053
1537140811,9033,9033
1537143039,9030,9030
1537145136,9008,9008
1537145798,9012,9012
1537147707,9003,9003
1537150229,8980,8980
1537150467,8983,8983
1537151688,8980,8980
1537153541,8992,8992
1537154725,9005,9005
1537155940,9010,9010
1537157662,9010,9010
1537158517,9012,9012
1537160188,9007,9007
1537161336,9006,9006
1537162521,9004,9004
1537164256,9007,9007
1537165834,9008,9008
1537166548,9009,9009
1537168477,9013,9013
1537169309,9018,9018
1537170981,9013,9013
1537172070,9010,9010
1537173635,9007,9007
1537174590,9013,9013
1537175729,9016,9016
1537177238,9017,9017
1537178185,9020,9020
1537180119,9018,9018
1537180953,9015,9015
1537182863,9007,9007
1537183711,8983,8983
1537184558,8934,8934
1537186233,8890,8890
1537188144,8883,8883
1537189259,8879,8879
1537190922,8881,8881
1537191742,8874,8874
1537193021,8873,8873
1537194141,8873,8873
1537195535,8869,8869
1537197260,8875,8875
1537198956,8874,8874
1537199783,8875,8875
1537201230,8870,8870
1537202431,8873,8873
1537204464,8881,8881
1537205596,8884,8884
1537206923,8896,8896
1537208137,8903,8903
1537209627,8912,8912
1537211104,8930,8930
1537212204,8946,8946
1537213358,8956,8956
1537215262,8980,8980
1537216956,9004,9004
1537217783,9015,9015
1537218867,9027,9027
1537219715,9035,9035
1537221387,9044,9044
1537222463,9056,9056
1537223678,9058,9058
1537224155,9063,9063
1537225540,9063,9063
1537226905,9064,9064
1537227761,9059,9059
1537228589,9061,9061
1537229673,9064,9064
1537230928,9060,9060
1537232733,9061,9061
1537234124,9067,9067
1537235783,9065,9065
