DateTime,AddedIPs,RemovedIPs
1537315323,16,8
1537315924,2,64
1537316523,8,0
1537317723,16,41
1537318923,16,52
1537319523,11,0
1537320124,61,9
1537321323,56,53
1537322522,49,15
1537323723,37,35
1537324322,11,0
1537324923,27,0
1537326123,42,18
1537326724,7,20
1537327323,13,9
1537328523,19,62
1537329722,52,6
1537330924,56,26
1537331523,43,0
1537332124,37,0
1537332724,31,8
1537333324,12,4
1537334524,21,6
1537335723,5,23
1537336923,3,26
1537338123,10,98
1537339323,7,47
1537340524,65,27
1537341123,18,16
1537341723,33,63
1537342323,47,0
1537342923,26,0
1537344123,48,70
1537344724,10,0
1537345323,11,9
1537346523,5,16
1537347724,8,4
1537348323,9,3
1537348923,0,4
1537350123,22,24
1537351322,24,110
1537351923,26,0
1537352523,27,41
1537353123,37,0
1537353723,47,50
1537354924,50,0
1537356123,31,40
1537357323,7,17
1537357924,2,20
1537358525,3,0
1537359124,2,4
1537359723,7,13
1537360923,20,53
1537362123,12,0
1537363323,39,90
1537364523,45,0
1537365724,11,60
1537366323,10,0
1537366923,1,0
1537367523,39,14
1537368124,18,0
1537368723,20,50
1537369322,43,35
1537370523,31,20
1537371724,61,33
1537372323,23,29
1537372924,34,0
1537374123,59,55
1537374723,46,0
1537375324,45,45
1537376523,25,69
1537377123,8,30
1537377724,8,95
1537378923,33,0
1537379522,18,34
1537380123,15,19
1537381323,18,86
1537382523,44,0
1537383723,44,80
1537384324,36,0
1537384923,54,41
1537386123,68,32
1537386724,40,60
1537387324,10,0
1537387923,12,63
1537388523,16,0
1537389123,14,57
1537389723,3,21
1537390323,3,0
1537390923,17,10
1537391523,23,0
1537392123,25,23
1537393323,13,21
1537393923,6,0
1537394522,11,0
1537395124,58,23
1537395723,47,0
1537396323,39,37
1537396923,25,47
1537398124,60,29
1537398724,33,0
1537399322,39,24
1537400523,36,17
1537401123,38,35
1537401725,20,6
1537402923,11,27
1537403523,5,0
1537404124,5,26
1537404724,11,0
1537405324,73,0
1537405923,43,60
1537406524,6,59
1537407123,6,0
1537407723,4,55
1537408323,2,0
1537408923,1,38
1537410123,1,0
1537410723,1,44
1537411323,1,39
1537412523,76,9
1537413123,12,0
1537413723,24,34
1537414923,57,45
1537415524,79,0
