DateTime,Entries,UniqueIPs
1537367973,77691,9367138
1537368692,77696,9367143
1537369482,77703,9367151
1537369892,77710,9367157
1537370614,77708,9367155
1537371628,77697,9367145
1537372292,77699,9367146
1537373013,77695,9367142
1537373578,77695,9367142
1537373733,77700,9367148
1537374454,77701,9367149
1537375174,77695,9367143
1537375456,77706,9367154
1537375893,77701,9367149
1537376614,77699,9367147
1537377396,77704,9367153
1537378292,77703,9367152
1537379014,77700,9367148
1537379559,77704,9367154
1537379735,77698,9367148
1537380453,77697,9367147
1537381173,77691,9367140
1537381453,77703,9367152
1537381893,77706,9367156
1537382167,77709,9367159
1537382613,77702,9367152
1537383333,77706,9367156
1537384053,77704,9367153
1537385013,77705,9367155
1537385973,77702,9367152
1537387413,77707,9367158
1537388133,77705,9367154
1537388853,77702,9367151
1537389383,77680,9367128
1537389813,77676,9367124
1537391318,77669,9367116
1537391974,77670,9367117
1537392692,77664,9367112
1537393213,77660,9367108
1537393652,77663,9367111
1537394612,77670,9367119
1537395142,77671,9367120
1537395573,77671,9367121
1537396532,77674,9367124
1537397060,77686,9367136
1537397492,77688,9367138
1537398453,77683,9367133
1537398984,77685,9367135
1537399412,77681,9367129
1537400375,77676,9367124
1537400895,77679,9367127
1537401426,77688,9367136
1537401812,77691,9367139
1537402533,77693,9367141
1537402814,77711,9367159
1537403252,77715,9367163
1537404214,77708,9367156
1537404748,77708,9367156
1537405653,77704,9367152
1537406666,77696,9367146
1537407333,77696,9367146
1537408052,77688,9367138
1537408584,77694,9367144
1537409013,77698,9367147
1537409974,77702,9367150
1537410494,77708,9367156
1537410932,77712,9367160
1537411949,77731,9367179
1537412439,77738,9367185
1537412853,77735,9367183
1537413572,77732,9367180
1537414348,77744,9367192
1537415733,77733,9367182
1537416267,77742,9367192
1537416693,77738,9367188
1537417653,77736,9367186
1537418172,77729,9367178
1537418374,77725,9367174
1537419093,77728,9367177
1537419659,77731,9367180
1537419813,77730,9367179
1537420095,77722,9367172
1537420533,77725,9367177
1537421493,77732,9367181
1537422012,77742,9367190
1537422453,77740,9367187
1537423893,77750,9367582
1537424612,77750,9367582
1537425334,77747,9367579
1537425862,77741,9367575
1537426293,77741,9367576
1537426832,77754,9367589
1537427252,77745,9367580
1537427794,77757,9367592
1537428214,77756,9367588
1537429173,77740,9367572
1537429697,77738,9367570
1537430133,77723,9367556
1537431334,77717,9367552
1537431855,77735,9367570
1537432294,77726,9367560
1537433253,77733,9367566
1537433777,77729,9367562
1537434213,77725,9367558
