DateTime,AddedIPs,RemovedIPs
1536725112,27,28
1536726998,34,110
1536728932,22,28
1536730822,29,34
1536732764,24,34
1536734671,56,136
1536736616,23,35
1536738515,22,365
1536740425,29,32
1536742348,543,36
1536744298,1191,288
1536746221,1259,144
1536748118,905,29
1536750990,17,41
1536752900,16,24
1536754827,195,15
1536756741,738,49
1536758662,8,271
1536760582,14,216
1536762502,13,40
1536764673,20,89
1536766527,19,65
1536768783,30,54
1536770681,15,89
1536772594,21,118
1536774524,10,48
1536776418,16,825
1536778365,13,241
1536780264,12,50
1536782199,12,55
1536784101,10,38
1536786058,13,33
1536787946,6,413
1536789882,17,194
1536791777,10,84
1536793707,25,31
1536795618,19,26
1536797538,15,27
1536799459,18,21
1536801397,6,34
1536803300,17,212
1536805220,5,683
1536807153,10,30
1536809060,35,131
1536811015,14,25
1536812898,125,32
1536815791,22,180
1536817725,29,145
1536819618,10,178
1536821660,17,141
1536823699,16,24
1536825678,16,25
1536827549,14,16
1536829470,19,1113
1536831396,14,1146
1536833316,22,1394
1536835216,19,537
1536837140,22,8
1536839068,18,12
1536841012,21,122
1536842903,103,894
1536844829,50,16
1536846779,20,19
1536848667,17,27
1536850585,26,19
1536852500,163,874
1536854453,497,340
1536856358,520,30
1536858301,120,33
1536860207,20,27
1536862110,17,24
1536864023,19,19
1536865953,27,21
1536867885,11,14
1536869790,21,24
1536871595,122,25
1536873610,15,19
1536875547,18,12
1536877703,12,24
1536879688,12,22
1536881539,33,21
1536883492,26,14
1536885423,34,27
1536887333,28,17
1536889240,28,20
1536891154,39,17
1536893055,27,15
1536895027,37,53
1536896899,23,15
1536898850,25,81
1536900745,316,79
1536902681,36,34
1536904594,22,20
1536906526,34,21
1536908470,363,12
1536910610,31,23
1536912549,24,24
1536914457,35,14
1536916359,23,24
1536918271,462,22
1536920216,70,21
1536922098,54,15
1536924068,55,24
1536925951,83,23
1536928127,34,26
1536930074,36,45
1536931964,24,24
1536933869,24,20
1536935772,41,52
1536937739,34,24
1536939891,44,29
1536941801,23,758
1536943706,26,24
1536945626,37,114
1536947564,35,16
1536949468,37,9
1536951394,22,24
1536953328,371,15
1536955265,143,14
1536957156,18,27
1536959085,21,49
1536961014,21,16
1536962913,18,14
1536964864,220,14
1536967013,40,25
1536968895,10,19
1536970839,14,21
1536972761,17,30
1536974681,518,22
1536976570,616,19
1536978498,773,35
1536980462,347,31
1536982358,45,29
1536984295,30,18
1536986182,16,51
1536988123,33,253
1536990043,25,21
1536992212,25,24
1536994349,21,230
1536996511,16,37
1536998459,27,21
1537000360,10,33
1537002277,16,35
1537004204,16,484
1537006104,17,30
1537008038,12,13
1537009955,496,23
1537011872,67,16
1537013836,137,23
1537015969,19,24
1537017870,25,23
1537019799,19,24
1537021705,27,33
1537023663,17,30
1537025554,21,37
1537027537,32,31
1537029630,25,36
1537031568,34,36
1537033462,54,21
1537035419,35,27
1537037295,29,22
1537039249,26,86
1537041144,26,77
1537043080,30,15
1537044977,27,22
1537046938,37,26
1537048862,17,31
1537050770,12,60
1537052672,19,248
1537054623,14,14
1537056533,18,20
1537058447,14,25
1537060347,13,314
1537062284,32,739
1537064195,46,650
1537066098,31,557
1537068034,44,89
1537069946,24,63
1537071882,23,18
1537073775,25,35
1537075713,23,26
1537077661,35,30
1537079564,244,21
1537081478,60,15
1537083512,23,18
1537085337,81,18
1537087237,17,11
1537089159,15,23
1537091345,20,22
1537093253,14,16
1537095142,11,700
1537097087,12,19
1537098988,14,331
1537100930,18,241
1537102841,101,23
1537104774,48,34
1537106674,1202,14
1537108615,21,53
1537110527,15,13
1537112448,38,27
1537114399,16,42
1537116276,784,30
1537118203,23,30
1537120348,615,30
1537122252,170,44
1537124471,38,39
1537126350,20,23
1537128311,25,29
1537130173,35,69
1537132117,19,22
1537134017,120,39
1537136203,29,15
1537138123,37,14
1537140027,26,19
1537142185,38,20
1537144103,1290,25
1537146080,1103,19
1537147948,1302,16
1537149864,226,31
1537151812,24,36
1537153953,27,47
1537155889,81,244
1537157791,202,17
1537159726,23,20
1537161632,11,27
1537163574,18,26
1537165474,20,87
1537167399,20,66
1537169300,54,23
1537171264,15,29
1537173163,17,76
1537175089,39,12
1537176991,47,20
1537178925,39,27
1537180834,36,18
1537182764,24,17
1537184668,48,16
1537186614,36,22
1537188509,42,65
1537190447,34,32
1537192352,58,851
1537194536,549,274
1537196673,38,30
1537198593,39,40
1537200552,50,15
1537202541,84,485
1537204347,65,18
1537206269,98,215
1537208204,44,432
1537210110,48,27
1537212025,36,17
1537213952,45,20
1537215862,34,49
1537217801,36,21
1537219706,34,119
1537221650,21,23
1537223738,35,42
1537225703,27,29
1537227632,25,18
1537229553,26,627
1537231474,33,1288
1537233399,18,1128
1537235310,198,944
1537237247,133,20
1537239141,41,27
1537241081,25,21
1537242972,26,267
1537244917,27,18
1537246846,24,16
1537248769,22,17
1537250672,20,19
1537252581,10,13
1537254527,32,60
1537256449,38,12
1537258465,14,13
1537260287,18,21
1537262211,668,67
1537264128,2658,29
1537266040,2489,37
1537267943,2808,34
1537270117,748,37
1537272091,11,35
1537273965,22,26
1537275875,44,44
1537278062,69,51
1537279967,46,52
1537281875,56,20
1537283801,13,331
1537285708,52,97
1537287907,15,64
1537291010,30,96
1537292922,14,92
1537294844,18,44
1537296761,19,43
1537298654,25,30
1537300597,20,34
1537302516,170,34
1537304469,263,20
1537306352,23,29
1537308273,12,23
1537310184,18,20
1537312124,16,29
1537314042,23,19
1537316207,24,26
1537318093,19,23
1537320038,16,26
1537321941,31,119
1537323877,28,53
1537325774,87,30
1537327715,24,17
1537329639,19,18
1537331557,261,110
1537333465,35,12
1537335371,36,28
1537337318,40,20
1537339230,75,13
1537341395,51,23
1537343302,13,33
1537345245,47,17
1537347144,13,11
1537349063,289,1209
1537350988,15,2478
1537353203,10,2859
1537355088,8,2295
1537356972,20,20
1537358974,12,21
1537360822,18,20
1537362889,16,56
1537364895,19,86
1537367071,34,45
1537368988,17,18
1537371145,16,36
1537373087,15,29
1537374979,23,25
1537376904,115,31
1537378820,13,20
1537380741,25,30
1537382683,19,14
1537384592,15,22
1537386500,23,24
1537388419,35,32
1537390350,102,914
1537392264,10,23
1537394183,11,58
1537396098,37,20
1537398040,21,13
1537399947,17,21
1537401880,18,26
1537403789,35,28
1537405715,56,12
1537407629,37,29
1537409545,36,30
1537411461,36,106
1537413384,46,30
1537415335,56,31
1537417223,41,161
1537419164,23,132
1537421084,33,37
1537423019,30,17
1537424898,20,132
1537426866,21,33
1537428746,23,19
1537430676,25,30
1537432825,20,30
1537434757,27,13
1537436661,27,14
1537438590,17,26
1537440506,22,12
1537442440,24,21
1537444364,11,21
1537446275,15,17
1537448187,23,24
1537450098,24,16
1537452030,20,730
1537453944,23,27
1537455876,19,23
1537457790,17,18
1537459748,24,13
1537461636,12,19
1537463553,16,26
1537465481,32,12
1537467397,371,21
1537469303,58,20
1537471232,10,15
1537473145,15,26
1537475075,18,32
1537476982,15,26
1537478897,41,12
1537480832,16,15
1537482748,12,59
1537484664,43,19
1537486598,33,18
1537488508,31,24
1537490426,24,22
1537492350,33,22
1537494266,11,25
1537496216,10,25
1537498100,56,27
1537500049,16,33
1537501998,19,40
1537503874,19,25
1537505784,14,31
1537507724,18,41
1537509676,11,72
1537511548,10,83
1537513469,26,125
1537515396,11,172
1537517328,19,143
1537519238,14,21
1537521420,23,27
1537523329,28,29
1537525234,20,18
1537527166,26,27
1537529084,27,18
1537530995,20,14
1537532918,13,21
1537534861,16,25
1537536760,10,55
1537538694,13,15
1537540603,13,19
1537542522,12,19
1537544433,745,15
1537546604,159,16
1537548742,10,22
1537550675,10,20
1537552575,11,67
1537554511,12,55
1537556440,30,17
1537558360,16,120
1537560263,9,283
1537562172,18,16
1537564127,28,20
1537566035,145,66
1537567957,35,16
1537569856,19,22
1537571806,8,22
1537573717,13,42
1537575646,17,23
1537577800,10,39
1537580435,25,29
1537582360,15,11
1537584276,15,25
1537586204,30,13
1537588339,16,23
1537590267,13,21
1537592165,14,25
1537594359,37,26
1537596272,14,20
1537598187,15,12
1537600114,22,33
1537602037,17,17
1537603953,14,28
1537605868,19,16
1537607790,22,19
1537609703,22,33
1537611620,36,23
1537613550,15,31
1537615469,23,23
1537617381,36,21
1537619297,48,15
1537621253,92,16
1537623145,54,12
1537625072,32,16
1537626994,20,44
1537628904,38,14
1537630820,65,1004
1537632779,61,213
1537634661,104,14
1537636588,105,19
1537638508,330,14
1537640421,123,8
1537642342,239,15
1537644259,746,25
1537646198,94,6
1537648097,16,12
1537650996,11,30
1537652897,23,143
1537654816,26,48
1537656779,21,14
1537658662,18,5
1537660581,11,15
1537662501,15,15
1537665395,11,17
1537667299,23,11
1537669272,7,15
1537671142,4,19
1537673063,11,26
1537674980,13,9
1537676902,19,10
1537678843,6,15
1537680750,73,29
1537682705,37,12
1537684598,207,9
1537686502,75,14
1537688420,137,19
1537690348,177,19
1537692265,16,13
1537694196,11,17
1537696104,10,21
1537698023,969,32
