DateTime,AddedIPs,RemovedIPs
1537212985,82,75
1537213947,65,63
1537214900,65,74
1537215858,80,74
1537216813,66,85
1537217796,54,65
1537218736,75,0
1537219702,86,76
1537220673,71,74
1537221640,73,68
1537222582,91,61
1537223545,75,69
1537224744,114,68
1537225696,88,66
1537226656,102,78
1537227621,82,70
1537228575,73,56
1537229549,119,59
1537231011,89,70
1537231933,107,63
1537232914,74,67
1537233888,113,67
1537234816,75,66
1537235778,72,60
1537236737,70,60
1537237694,83,50
1537238679,86,54
1537239628,71,82
1537240587,72,62
1537241543,76,60
1537242494,55,71
1537243479,68,70
1537244412,59,83
1537245376,59,72
1537246356,62,85
1537247296,61,66
1537248254,60,66
1537249219,77,68
1537250196,71,20
1537251136,60,73
1537252094,70,102
1537253089,98,89
1537254034,81,68
1537254985,71,66
1537255942,77,55
1537256900,76,72
1537257862,76,69
1537258829,93,81
1537259785,72,93
1537260751,87,74
1537261697,99,78
1537262654,70,72
1537263620,88,75
1537264584,73,73
1537265540,73,80
1537266501,91,52
1537267479,62,76
1537268440,84,80
1537269385,113,68
1537270586,73,174
1537271541,74,0
1537272509,83,191
1537273466,96,0
1537274414,88,95
1537275390,58,61
1537276360,90,169
1537277544,69,78
1537278508,79,84
1537279468,63,68
1537280419,96,79
1537281377,75,100
1537282332,59,74
1537283310,76,60
1537284270,96,79
1537285238,94,93
1537286187,97,0
1537287186,78,162
1537288379,72,86
1537289540,74,62
1537290516,80,72
1537291455,78,0
1537292430,82,127
1537293374,79,0
1537294347,68,65
1537295292,91,65
1537296290,68,166
1537297220,1927,0
1537298179,86,71
1537299161,97,125
1537300104,69,60
1537301068,81,0
1537302023,68,125
1537302992,86,86
1537303949,66,76
1537304909,46,0
1537305867,84,163
1537306813,86,0
1537307791,69,148
1537308756,80,84
1537309694,91,0
1537310663,93,90
1537311641,61,153
1537312586,57,67
1537313546,88,75
1537314492,81,0
1537315486,70,161
1537316654,64,79
1537317612,67,67
1537318607,69,72
1537319535,81,120
1537320495,80,98
1537321472,53,90
1537322419,73,120
1537323379,64,79
1537324348,83,67
1537325294,59,69
1537326280,51,31
1537327210,83,0
1537328172,63,0
1537329155,66,0
1537330095,60,0
1537331057,56,0
1537332020,61,0
1537332988,49,0
1537333934,56,0
1537334895,69,0
1537335874,77,0
1537336824,68,0
1537337781,87,0
1537338826,87,0
1537339928,66,0
1537340898,74,0
1537341866,73,68
1537342814,77,27
1537343781,53,90
1537344743,71,120
1537346053,82,40
1537347139,84,61
1537348358,76,184
1537349298,82,91
1537350272,85,96
1537351218,78,96
1537352195,62,123
1537353659,58,121
1537354578,81,152
1537355540,80,130
1537356495,83,131
1537357476,67,80
1537358450,66,71
1537359421,69,77
1537360353,76,75
1537361295,79,73
1537362267,61,68
1537363231,62,74
1537364172,70,83
1537365145,66,89
1537366115,85,69
1537367066,67,73
1537368025,84,114
1537368980,81,80
1537369958,82,74
1537371140,87,100
1537372093,80,69
1537373078,69,89
1537374011,97,57
1537374974,98,84
1537375951,82,63
1537376899,78,75
1537377859,63,71
1537378815,57,68
1537379787,68,68
1537380735,58,68
1537381694,44,69
1537382676,64,72
1537383620,1936,68
1537384587,64,80
1537385539,78,65
1537386495,75,70
1537387484,75,66
1537388414,54,62
1537389388,81,89
1537390338,50,58
1537391323,89,52
1537392258,67,53
1537393217,80,69
1537394178,55,77
1537395146,87,91
1537396093,80,68
1537397065,129,85
1537398029,95,93
1537398989,75,76
1537399940,129,85
1537400899,79,69
1537401875,94,76
1537402819,106,60
1537403784,86,66
1537404753,90,59
1537405711,68,67
1537406671,97,77
1537407624,69,62
1537408588,93,62
1537409540,74,70
1537410498,68,54
1537411456,86,76
1537412444,76,45
1537413380,83,59
1537414360,90,52
1537415331,104,46
1537416271,91,72
1537417218,80,59
1537418178,98,70
1537419158,72,59
1537420099,100,56
1537421059,53,52
1537422017,57,54
1537422996,73,90
1537423958,52,64
1537424892,82,94
1537425868,79,95
1537426841,76,75
1537427799,78,90
1537428740,93,78
1537429702,86,81
1537430668,72,71
1537431861,78,73
1537432819,102,93
1537433782,73,70
1537434751,78,70
1537435711,85,72
1537436655,82,76
1537437640,83,79
1537438584,95,83
1537439545,71,83
1537440501,77,62
1537441472,69,72
1537442434,64,79
1537443388,106,93
1537444359,63,84
1537445308,94,85
1537446269,92,72
1537447224,76,70
1537448182,71,59
1537449147,91,74
1537450092,81,76
1537451064,93,84
1537452018,69,72
1537452993,76,72
1537453939,79,76
1537454911,70,81
1537455869,65,69
1537456815,62,73
1537457785,69,88
1537458743,55,78
1537459742,62,89
1537460663,67,66
1537461629,77,71
1537462579,61,85
1537463548,72,59
1537464495,57,77
1537465475,70,72
1537466440,68,69
1537467390,75,80
1537468343,92,92
1537469298,70,78
1537470266,1387,80
1537471227,95,80
1537472188,84,85
1537473138,71,66
1537474102,68,76
1537475070,54,90
1537476022,92,60
1537476977,90,86
1537477947,61,96
1537478891,54,90
1537479879,56,92
1537480823,62,66
1537481786,59,62
1537482742,85,57
1537483701,71,58
1537484658,64,79
1537485638,57,66
1537486593,73,83
1537487562,84,68
1537488503,70,0
1537489460,66,72
1537490422,64,69
1537491394,65,47
1537492345,75,60
1537493308,71,60
1537494260,77,53
1537495237,65,50
1537496209,76,59
1537497653,70,132
1537498571,74,55
1537499540,91,61
1537500494,67,76
1537501480,68,68
1537502447,62,58
1537503381,64,55
1537504344,72,78
1537505315,62,55
1537506257,55,90
1537507251,49,68
1537508190,81,77
1537509157,67,39
1537510112,51,77
1537511075,72,65
1537512033,92,84
1537512997,86,91
1537513956,61,0
1537514911,67,159
1537515878,59,90
1537516827,70,0
1537517785,67,84
1537518757,67,162
1537519702,73,0
1537520794,65,141
1537521869,62,64
1537522816,66,86
1537523796,64,91
1537524756,90,93
1537525708,79,85
1537526675,69,86
1537527643,82,59
1537528586,82,78
1537529543,68,72
1537530498,76,70
1537531486,63,92
1537532428,65,0
1537533382,62,85
1537534348,69,139
1537535308,80,88
1537536261,71,50
1537537222,78,0
1537538192,77,140
1537539152,66,108
1537540094,73,64
1537541058,87,0
1537542034,96,187
1537542991,84,0
1537543942,76,92
1537545158,83,78
1537546127,69,63
1537547060,93,76
1537548011,76,71
1537548985,88,74
1537549931,71,60
1537551148,83,142
1537552108,77,64
1537553085,84,58
1537554011,84,80
1537554977,70,67
1537555952,78,67
1537556896,618,1394
1537557854,72,62
1537558815,56,71
1537559789,68,68
1537560741,60,57
1537561689,76,66
1537562684,79,65
1537563624,76,62
1537564583,65,70
1537565536,64,71
1537566499,76,37
1537567485,63,79
1537568412,71,63
1537569393,80,51
1537570341,78,73
1537571298,92,49
1537572265,87,47
1537573216,60,0
1537574183,62,50
1537575141,63,148
1537576092,82,0
1537577076,71,128
1537578264,66,61
1537579213,70,96
1537580925,89,115
1537581858,77,0
1537582830,88,135
1537583790,83,62
1537584738,59,0
1537585697,73,60
1537586657,66,55
1537587618,70,65
1537588591,66,129
1537589561,66,47
1537590496,92,0
1537591456,60,68
1537592430,68,88
1537593377,78,0
1537594355,85,126
1537595297,76,0
1537596267,72,35
1537597223,72,58
1537598182,89,41
1537599138,61,46
1537600109,70,58
1537601056,76,62
1537602028,61,55
1537602975,61,54
1537603948,76,41
1537604893,71,71
1537605864,53,67
1537606840,57,56
1537607786,75,53
1537608740,77,57
1537609697,54,64
1537610677,46,47
1537611616,60,77
1537612582,59,74
1537613543,63,58
1537614497,88,86
1537615464,69,61
1537616413,65,72
1537617377,75,75
1537618361,68,62
1537619293,91,65
1537620257,67,64
1537621236,104,50
1537622188,71,65
1537623140,60,64
1537624094,55,80
1537625067,64,89
1537626011,70,48
1537626990,68,61
1537627951,65,60
1537628899,67,73
1537629857,51,70
1537630816,77,60
1537631775,58,59
1537632774,67,64
1537633694,83,0
1537634657,66,52
1537635638,69,47
1537636583,60,48
1537637544,64,67
1537638503,57,48
1537639464,59,73
1537640416,62,38
1537641381,66,58
1537642336,54,57
1537643321,61,58
1537644255,61,61
1537645215,70,54
1537646192,61,49
1537647135,52,60
1537648092,77,60
1537649078,60,66
1537650023,42,65
1537650992,65,48
1537651947,76,74
1537652894,67,64
1537653878,65,76
1537654812,40,66
1537655776,79,72
1537656739,61,59
1537657700,52,63
1537658654,58,66
1537659617,52,53
1537660578,58,54
1537661540,65,50
1537662497,50,63
1537663462,57,71
1537664436,59,42
1537665390,56,52
1537666342,72,52
1537667295,58,70
1537668262,87,47
1537669264,56,77
1537670182,71,38
1537671137,62,46
1537672110,64,43
1537673059,72,55
1537674019,48,55
1537674976,57,37
1537675946,56,50
1537676898,49,54
1537677875,58,59
1537678821,73,58
1537679782,71,59
1537680745,88,82
1537681700,65,45
1537682667,64,42
1537683621,70,38
1537684593,63,64
1537685541,65,44
1537686497,74,39
1537687463,77,57
1537688415,57,50
1537689376,65,44
1537690342,57,41
1537691297,61,55
1537692261,62,57
1537693238,56,69
1537694192,59,59
1537695139,80,63
1537696100,54,77
1537697063,60,57
1537698017,59,75
