DateTime,Entries,UniqueIPs
1537479093,17251,17251
1537479813,17249,17249
1537480534,17249,17249
1537481254,17246,17246
1537482214,17244,17244
1537483174,17231,17231
1537484132,17230,17230
1537485092,17235,17235
1537486053,17234,17234
1537487014,17231,17231
1537487972,17225,17225
1537488933,17223,17223
1537489895,17226,17226
1537490612,17226,17226
1537491332,17226,17226
1537492053,17227,17227
1537492772,17231,17231
1537493733,17232,17232
1537494693,17234,17234
1537495654,17232,17232
1537497573,17234,17234
1537498293,17237,17237
1537499012,17236,17236
1537499973,17235,17235
1537500693,17236,17236
1537501412,17236,17236
1537502373,17238,17238
1537503093,17232,17232
1537503813,17228,17228
1537504535,17222,17222
1537505252,17226,17226
1537505973,17215,17215
1537506694,17207,17207
1537507653,17200,17200
1537508614,17199,17199
1537510054,17192,17192
1537511014,17189,17189
1537511973,17189,17189
1537512932,17192,17192
1537513893,17193,17193
1537514853,17186,17186
1537515814,17186,17186
1537516534,17187,17187
1537517252,17189,17189
1537518694,17198,17198
1537519413,17203,17203
1537520613,17207,17207
1537521813,17205,17205
1537522534,17201,17201
1537523733,17203,17203
1537524693,17204,17204
1537525652,17196,17196
1537526614,17197,17197
1537528052,17191,17191
1537529014,17191,17191
1537529973,17192,17192
1537530933,17187,17187
1537531894,17179,17179
1537532854,17175,17175
1537533812,17174,17174
1537534772,17177,17177
1537535733,17182,17182
1537536692,16909,16909
1537537652,16910,16910
1537538613,16918,16918
1537539573,16919,16919
1537540536,16920,16920
1537541493,16926,16926
1537542453,16927,16927
1537543413,16928,16928
1537544374,16933,16933
1537545092,16933,16933
1537545813,16936,16936
1537546533,16934,16934
1537547493,16929,16929
1537548213,16941,16941
1537548932,16946,16946
1537549653,16946,16946
1537550613,16954,16954
1537551332,16950,16950
1537552054,16955,16955
1537553012,16957,16957
1537553732,16954,16954
1537554453,16953,16953
1537555173,16952,16952
1537555892,16953,16953
1537556613,16955,16955
1537557333,16954,16954
1537558294,16945,16945
1537559013,16946,16946
1537559733,16950,16950
1537560453,16952,16952
1537561173,16956,16956
1537561892,16957,16957
1537562613,16960,16960
1537563333,16960,16960
1537564053,16956,16956
1537565013,16959,16959
1537565972,16961,16961
1537566932,16966,16966
1537567892,16973,16973
1537568612,16977,16977
1537569333,16985,16985
1537570053,16989,16989
1537570774,16992,16992
1537571732,16997,16997
1537572693,16999,16999
1537573654,17009,17009
1537574612,17015,17015
1537575573,17021,17021
1537576293,17022,17022
1537577014,17025,17025
1537577735,17026,17026
1537578692,17033,17033
1537579412,17037,17037
1537580852,17036,17036
1537581573,17033,17033
1537582293,17033,17033
1537583253,17025,17025
1537584214,17025,17025
1537585174,17029,17029
1537586133,17033,17033
1537587092,17032,17032
1537587814,17035,17035
1537588532,17043,17043
1537589493,17052,17052
1537590213,17055,17055
1537590933,17052,17052
1537591893,17061,17061
1537592853,17060,17060
1537593813,17062,17062
1537594773,17062,17062
1537595732,17068,17068
1537596693,17067,17067
1537597653,17071,17071
1537598613,17072,17072
1537599574,17076,17076
1537600533,17077,17077
1537601494,17080,17080
1537602453,17078,17078
1537603413,17074,17074
1537604373,17071,17071
1537605332,17072,17072
1537606293,17075,17075
1537607252,17075,17075
1537608212,17075,17075
1537609176,17077,17077
1537609893,17073,17073
1537610612,17073,17073
1537611333,17076,17076
1537612052,17079,17079
1537613013,17084,17084
1537613973,17082,17082
1537614932,17084,17084
1537615893,17084,17084
1537616854,17084,17084
1537618292,17087,17087
1537619013,16989,16989
1537619733,16988,16988
1537620693,16984,16984
1537621653,16976,16976
1537622613,16976,16976
1537623573,16975,16975
1537624532,16973,16973
1537625492,16970,16970
1537626213,16972,16972
1537626932,16975,16975
1537627653,16973,16973
1537628374,16973,16973
1537629334,16973,16973
1537630293,16973,16973
1537631252,16977,16977
1537632214,16967,16967
1537633172,16964,16964
1537634133,16965,16965
1537635093,16961,16961
1537636053,16961,16961
1537637014,16956,16956
1537637973,16954,16954
1537638933,16953,16953
1537639893,16954,16954
1537640852,16952,16952
1537641814,16952,16952
1537642533,16953,16953
1537643253,16962,16962
1537643973,16962,16962
1537644692,16966,16966
1537645413,16968,16968
1537646133,16971,16971
1537646853,16970,16970
1537647572,16968,16968
1537648293,16968,16968
1537649014,16964,16964
1537649733,16967,16967
1537650453,16964,16964
1537651413,16969,16969
1537652372,16971,16971
1537653092,16968,16968
1537653814,16963,16963
1537654532,16963,16963
1537655254,16958,16958
1537656214,16950,16950
1537657173,16947,16947
1537658135,16953,16953
1537659094,16961,16961
1537660054,16960,16960
1537661013,16971,16971
1537661973,16977,16977
1537662934,16981,16981
1537663894,16977,16977
1537664853,16965,16965
1537665813,16968,16968
1537666773,16969,16969
1537667733,16973,16973
1537668694,16979,16979
1537669654,16985,16985
1537670613,16988,16988
1537671572,16989,16989
1537672533,16990,16990
1537673492,16990,16990
1537674458,16991,16991
1537675413,16992,16992
1537676372,16993,16993
1537677092,16999,16999
1537677813,16998,16998
1537678533,16999,16999
1537679253,16996,16996
1537680212,16992,16992
1537681173,16987,16987
1537682133,16978,16978
1537683093,16973,16973
1537683814,16971,16971
1537684534,16976,16976
1537685252,16974,16974
1537685973,16966,16966
1537686933,16963,16963
1537687892,16962,16962
1537688853,16968,16968
1537689813,16965,16965
1537690772,16961,16961
1537691733,16953,16953
1537692693,16947,16947
1537693655,16945,16945
1537694613,16946,16946
1537695573,16945,16945
1537696533,16948,16948
1537697493,16947,16947
